key,sector_hours,year,hours_idx_annual_raw
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2022,107.8
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2023,115.625
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2024,126.325
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2025,130.26666666666665
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2015,95.075
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2016,99.64999999999999
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2017,103.775
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2018,106.125
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2019,106.55
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2020,90.80000000000001
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2021,99.475
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2022,107.525
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2023,114.05
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2024,117.4
"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2025,120.3
costruzioni,Costruzioni,2015,84.3
costruzioni,Costruzioni,2016,83.025
costruzioni,Costruzioni,2017,83.8
costruzioni,Costruzioni,2018,85.125
costruzioni,Costruzioni,2019,88.55
costruzioni,Costruzioni,2020,82.0
costruzioni,Costruzioni,2021,100.05
costruzioni,Costruzioni,2022,113.125
costruzioni,Costruzioni,2023,117.80000000000001
costruzioni,Costruzioni,2024,122.9
costruzioni,Costruzioni,2025,126.10000000000001
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2015,108.175
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2016,107.175
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2017,104.175
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2018,101.94999999999999
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2019,102.85
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2020,97.05000000000001
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2021,99.95
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2022,97.075
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2023,93.725
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2024,96.275
estrazione di minerali da cave e miniere,Estrazione di minerali da cave e miniere,2025,96.3
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2015,83.075
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2016,84.35
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2017,85.6
