sector_va,year,va,key
"Industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili",2016,26451.0,"industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili"
"Industria del legno, della carta, editoria",2016,15907.7,"industria del legno, della carta, editoria"
"Industria del legno e dei prodotti in legno e sughero, esclusi i mobili, fabbricazione di articoli in paglia e materiali da intreccio",2016,5151.5,"industria del legno e dei prodotti in legno e sughero, esclusi i mobili, fabbricazione di articoli in paglia e materiali da intreccio"
Fabbricazione di carta e di prodotti di carta,2016,5988.0,fabbricazione di carta e di prodotti di carta
Stampa e riproduzione su supporti registrati,2016,4748.6,stampa e riproduzione su supporti registrati
Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,2016,1363.5,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio
Fabbricazione di prodotti chimici,2016,12528.4,fabbricazione di prodotti chimici
Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,2016,9741.2,fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici
Fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi,2016,22552.4,fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi
Fabbricazione di articoli in gomma e materie plastiche,2016,12405.3,fabbricazione di articoli in gomma e materie plastiche
Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,2016,10181.3,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi
"Attività metallurgiche e fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",2016,42803.0,"attività metallurgiche e fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature"
Attività metallurgiche,2016,10019.4,attività metallurgiche
"Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature",2016,32846.0,"fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature"
Fabbricazione di computer e prodotti di elettronica e ottica,2016,8630.0,fabbricazione di computer e prodotti di elettronica e ottica
Fabbricazione di apparecchiature elettriche,2016,10677.4,fabbricazione di apparecchiature elettriche
Fabbricazione di macchinari e apparecchiature n.c.a.,2016,37010.0,fabbricazione di macchinari e apparecchiature n c a
Fabbricazione di mezzi di trasporto,2016,22551.9,fabbricazione di mezzi di trasporto
"Fabbricazione di autoveicoli, rimorchi e semirimorchi",2016,14523.4,"fabbricazione di autoveicoli, rimorchi e semirimorchi"
Fabbricazione di altri mezzi di trasporto,2016,8229.7,fabbricazione di altri mezzi di trasporto
"Fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature",2016,23899.6,"fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature"
